subject,version,character,act,event,position,coherence,lag,plot,response,rt,error,abs_error,condition,exclusion
411,12,Charles,1,C,38,mainplot,mainplot,mainplot,61,5243.7,23,23,mainplot,include
411,12,Charles,1,D,49,mainplot,mainplot,mainplot,70,9772.4,21,21,mainplot,include
411,12,Charles,1,B,23,mainplot,mainplot,mainplot,48,6031.4,25,25,mainplot,include
411,12,Charles,2,A,77,mainplot,mainplot,mainplot,82,3372.6,5,5,mainplot,include
411,12,Beatrice,2,B,99,unrelated,short,sideplot,94,7004.6,-5,5,unrelated-short,include
411,12,Charles,1,A,4,mainplot,mainplot,mainplot,18,4171.9,14,14,mainplot,include
411,12,Charles,1,A,6,mainplot,mainplot,mainplot,NA,NA,NA,NA,mainplot,exclude
411,12,Charles,1,C,35,mainplot,mainplot,mainplot,64,4210.1,29,29,mainplot,include
411,12,Sandra,1,A,26,unrelated,long,sideplot,50,3115.7,24,24,unrelated-long,include
411,12,Charles,1,E,65,mainplot,mainplot,mainplot,44,6819,-21,21,mainplot,include
411,12,Sandra,2,B,133,unrelated,long,sideplot,81,5196.6,-52,52,unrelated-long,include
411,12,Charles,1,B,22,mainplot,mainplot,mainplot,41,3444.4,19,19,mainplot,include
411,12,Charles,2,B,89,mainplot,mainplot,mainplot,93,3356.5,4,4,mainplot,include
411,12,Charles,1,D,53,mainplot,mainplot,mainplot,78,3659.9,25,25,mainplot,include
411,12,Beatrice,2,B,100,unrelated,short,sideplot,112,3043.9,12,12,unrelated-short,include
411,12,Charles,2,B,96,mainplot,mainplot,mainplot,106,4011.9,10,10,mainplot,include
411,12,Johnny,1,A,15,coherent,long,sideplot,16,5522.8,1,1,coherent-long,include
411,12,Charles,2,D,126,mainplot,mainplot,mainplot,123,6067.8,-3,3,mainplot,include
411,12,Sandra,2,B,131,unrelated,long,sideplot,49,5491.9,-82,82,unrelated-long,include
411,12,Charles,1,A,7,mainplot,mainplot,mainplot,8,3292.4,1,1,mainplot,include
411,12,Charles,1,D,50,mainplot,mainplot,mainplot,70,5332.1,20,20,mainplot,include
411,12,Charles,1,B,18,mainplot,mainplot,mainplot,26,3979.9,8,8,mainplot,include
411,12,Sandra,1,A,32,unrelated,long,sideplot,53,2435,21,21,unrelated-long,include
411,12,Johnny,1,A,12,coherent,long,sideplot,92,3260,80,80,coherent-long,include
411,12,Charles,1,B,21,mainplot,mainplot,mainplot,41,6403.4,20,20,mainplot,include
411,12,Charles,2,A,80,mainplot,mainplot,mainplot,90,4860.1,10,10,mainplot,include
411,12,Charles,2,C,111,mainplot,mainplot,mainplot,111,5412.6,0,0,mainplot,include
411,12,Beatrice,1,A,60,unrelated,short,sideplot,41,4955.9,-19,19,unrelated-short,include
411,12,Charles,2,E,144,mainplot,mainplot,mainplot,144,2915.8,0,0,mainplot,include
411,12,Beatrice,2,B,98,unrelated,short,sideplot,111,2316,13,13,unrelated-short,include
411,12,Johnny,1,A,10,coherent,long,sideplot,48,2572.4,38,38,coherent-long,include
411,12,Johnny,2,A,116,coherent,long,sideplot,31,2740.1,-85,85,coherent-long,include
411,12,Charles,1,A,5,mainplot,mainplot,mainplot,10,9980.9,5,5,mainplot,include
411,12,Charles,1,E,72,mainplot,mainplot,mainplot,86,4510.4,14,14,mainplot,include
411,12,Sandra,1,A,28,unrelated,long,sideplot,45,2563.7,17,17,unrelated-long,include
411,12,Johnny,1,A,9,coherent,long,sideplot,9,4436.3,0,0,coherent-long,include
411,12,Charles,1,D,51,mainplot,mainplot,mainplot,79,2092.3,28,28,mainplot,include
411,12,Sandra,2,B,135,unrelated,long,sideplot,91,5876.1,-44,44,unrelated-long,include
411,12,Charles,1,D,55,mainplot,mainplot,mainplot,80,2188.9,25,25,mainplot,include
411,12,Charles,2,A,73,mainplot,mainplot,mainplot,91,3277.1,18,18,mainplot,include
411,12,Charles,1,E,70,mainplot,mainplot,mainplot,86,5956.1,16,16,mainplot,include
411,12,Charles,2,C,107,mainplot,mainplot,mainplot,106,5284.8,-1,1,mainplot,include
411,12,Johnny,1,A,16,coherent,long,sideplot,90,3228.3,74,74,coherent-long,include
411,12,Beatrice,1,A,64,unrelated,short,sideplot,27,2148.7,-37,37,unrelated-short,include
411,12,Melvin,2,A,83,coherent,short,sideplot,100,6612.6,17,17,coherent-short,include
411,12,Johnny,2,A,117,coherent,long,sideplot,29,4906.9,-88,88,coherent-long,include
411,12,Charles,2,B,93,mainplot,mainplot,mainplot,116,2644.7,23,23,mainplot,include
411,12,Charles,1,E,69,mainplot,mainplot,mainplot,86,3701.2,17,17,mainplot,include
411,12,Johnny,2,A,120,coherent,long,sideplot,22,4436.5,-98,98,coherent-long,include
411,12,Charles,1,C,33,mainplot,mainplot,mainplot,58,2484,25,25,mainplot,include
411,12,Sandra,2,B,130,unrelated,long,sideplot,103,5716,-27,27,unrelated-long,include
411,12,Charles,2,E,143,mainplot,mainplot,mainplot,141,4219.9,-2,2,mainplot,include
411,12,Melvin,1,A,46,coherent,short,sideplot,30,3643.1,-16,16,coherent-short,include
411,12,Charles,2,E,139,mainplot,mainplot,mainplot,139,2972.2,0,0,mainplot,include
411,12,Sandra,1,A,30,unrelated,long,sideplot,29,2163.9,-1,1,unrelated-long,include
411,12,Charles,1,D,54,mainplot,mainplot,mainplot,76,2117.9,22,22,mainplot,include
411,12,Sandra,2,B,132,unrelated,long,sideplot,102,4149,-30,30,unrelated-long,include
411,12,Charles,2,E,140,mainplot,mainplot,mainplot,142,4989.3,2,2,mainplot,include
411,12,Charles,2,A,79,mainplot,mainplot,mainplot,90,2715.5,11,11,mainplot,include
411,12,Charles,1,E,71,mainplot,mainplot,mainplot,98,5932.3,27,27,mainplot,include
411,12,Charles,1,C,34,mainplot,mainplot,mainplot,70,2411.4,36,36,mainplot,include
411,12,Melvin,1,A,41,coherent,short,sideplot,28,4589.6,-13,13,coherent-short,include
411,12,Charles,2,C,106,mainplot,mainplot,mainplot,110,2363.5,4,4,mainplot,include
411,12,Charles,2,D,121,mainplot,mainplot,mainplot,138,3483.7,17,17,mainplot,include
411,12,Charles,1,A,8,mainplot,mainplot,mainplot,12,5068.2,4,4,mainplot,include
411,12,Beatrice,1,A,58,unrelated,short,sideplot,25,3140,-33,33,unrelated-short,include
411,12,Johnny,1,A,13,coherent,long,sideplot,98,2684.4,85,85,coherent-long,include
411,12,Melvin,2,A,86,coherent,short,sideplot,112,3651.6,26,26,coherent-short,include
411,12,Charles,2,D,128,mainplot,mainplot,mainplot,137,4515.5,9,9,mainplot,include
411,12,Charles,2,A,74,mainplot,mainplot,mainplot,94,5452,20,20,mainplot,include
411,12,Melvin,2,A,88,coherent,short,sideplot,115,6636,27,27,coherent-short,include
411,12,Charles,2,C,112,mainplot,mainplot,mainplot,119,3564.1,7,7,mainplot,include
411,12,Beatrice,1,A,62,unrelated,short,sideplot,25,2564.5,-37,37,unrelated-short,include
411,12,Charles,1,B,24,mainplot,mainplot,mainplot,42,2788,18,18,mainplot,include
411,12,Charles,2,D,125,mainplot,mainplot,mainplot,134,2988.4,9,9,mainplot,include
411,12,Charles,2,E,138,mainplot,mainplot,mainplot,137,2819.1,-1,1,mainplot,include
411,12,Charles,1,B,20,mainplot,mainplot,mainplot,20,2555.7,0,0,mainplot,include
411,12,Charles,1,D,52,mainplot,mainplot,mainplot,75,2349.4,23,23,mainplot,include
411,12,Charles,2,E,137,mainplot,mainplot,mainplot,133,4652.9,-4,4,mainplot,include
411,12,Charles,2,E,141,mainplot,mainplot,mainplot,141,3093.8,0,0,mainplot,include
411,12,Charles,1,B,17,mainplot,mainplot,mainplot,129,4059.7,112,112,mainplot,include
411,12,Beatrice,2,B,102,unrelated,short,sideplot,106,1460.7,4,4,unrelated-short,include
411,12,Charles,1,A,3,mainplot,mainplot,mainplot,12,4507.9,9,9,mainplot,include
411,12,Charles,2,C,108,mainplot,mainplot,mainplot,114,2051.4,6,6,mainplot,include
411,12,Charles,2,D,127,mainplot,mainplot,mainplot,135,3660.1,8,8,mainplot,include
411,12,Charles,2,A,78,mainplot,mainplot,mainplot,94,2300.8,16,16,mainplot,include
411,12,Sandra,1,A,29,unrelated,long,sideplot,17,3620.7,-12,12,unrelated-long,include
411,12,Charles,1,A,2,mainplot,mainplot,mainplot,4,3172.6,2,2,mainplot,include
411,12,Melvin,2,A,84,coherent,short,sideplot,107,1764,23,23,coherent-short,include
411,12,Sandra,2,B,134,unrelated,long,sideplot,88,2372.4,-46,46,unrelated-long,include
411,12,Johnny,2,A,115,coherent,long,sideplot,17,3196.3,-98,98,coherent-long,include
411,12,Johnny,1,A,11,coherent,long,sideplot,90,1595.3,79,79,coherent-long,include
411,12,Melvin,2,A,85,coherent,short,sideplot,102,2094.2,17,17,coherent-short,include
411,12,Melvin,2,A,81,coherent,short,sideplot,8,1637.1,-73,73,coherent-short,include
411,12,Beatrice,1,A,59,unrelated,short,sideplot,26,2366.5,-33,33,unrelated-short,include
411,12,Sandra,2,B,136,unrelated,long,sideplot,97,1845.1,-39,39,unrelated-long,include
411,12,Charles,2,B,91,mainplot,mainplot,mainplot,100,2469.8,9,9,mainplot,include
411,12,Beatrice,2,B,101,unrelated,short,sideplot,97,4645.5,-4,4,unrelated-short,include
411,12,Charles,1,C,36,mainplot,mainplot,mainplot,68,1899.8,32,32,mainplot,include
411,12,Charles,2,A,76,mainplot,mainplot,mainplot,89,1909.4,13,13,mainplot,include
411,12,Melvin,1,A,48,coherent,short,sideplot,38,1875.3,-10,10,coherent-short,include
