subject,version,character_1,act_1,event_1,image_1,position_1,character_2,act_2,event_2,image_2,position_2,coherence,lag,plot,response,correct_distance,rt,stimulus,condition,trial_index,error,abs_error
301,6,Charles,1,C,2,34,Charles,2,E,2,138,mainplot,long,NA,95,103,3940.1,"[""<img src=\""jspsych/stimuli/charles1C2.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/charles2E2.png\"" width=\""480\"" height=\""270\"">""]",across,82,-8,8
301,6,Charles,1,E,4,68,Charles,2,C,4,108,mainplot,short,NA,78,39,5491.5,"[""<img src=\""jspsych/stimuli/charles1E4.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/charles2C4.png\"" width=\""480\"" height=\""270\"">""]",across,83,39,39
301,6,Charles,1,B,6,22,Charles,1,B,7,23,mainplot,mainplot,NA,9,0,7777.5,"[""<img src=\""jspsych/stimuli/charles1B6.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/charles1B7.png\"" width=\""480\"" height=\""270\"">""]",within,84,9,9
301,6,Beatrice,1,A,4,44,Beatrice,2,A,4,84,coherent,short,NA,86,39,4714.9,"[""<img src=\""jspsych/stimuli/beatrice1A4.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/beatrice2A4.png\"" width=\""480\"" height=\""270\"">""]",across,85,47,47
301,6,Sandra,1,A,1,57,Charles,1,E,1,65,unrelated,short,NA,86,7,7962.5,"[""<img src=\""jspsych/stimuli/sandra1A1.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/charles1E1.png\"" width=\""480\"" height=\""270\"">""]",adjacent,86,79,79
301,6,Johnny,1,A,7,31,Johnny,2,A,5,133,coherent,long,NA,90,101,6547.3,"[""<img src=\""jspsych/stimuli/johnny1A7.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/johnny2A5.png\"" width=\""480\"" height=\""270\"">""]",across,87,-11,11
301,6,Charles,1,C,7,39,Charles,2,E,7,143,mainplot,long,NA,77,103,6347.5,"[""<img src=\""jspsych/stimuli/charles1C7.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/charles2E7.png\"" width=\""480\"" height=\""270\"">""]",across,88,-26,26
301,6,Beatrice,1,A,5,45,Beatrice,2,A,2,82,coherent,short,NA,87,36,5372.1,"[""<img src=\""jspsych/stimuli/beatrice1A5.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/beatrice2A2.png\"" width=\""480\"" height=\""270\"">""]",across,89,51,51
301,6,Sandra,1,A,8,64,Sandra,2,B,8,104,unrelated,short,NA,87,39,2994.8,"[""<img src=\""jspsych/stimuli/sandra1A8.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/sandra2B8.png\"" width=\""480\"" height=\""270\"">""]",across,90,48,48
301,6,Charles,1,E,8,72,Charles,2,A,8,80,mainplot,mainplot,NA,25,7,8795.2,"[""<img src=\""jspsych/stimuli/charles1E8.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/charles2A8.png\"" width=\""480\"" height=\""270\"">""]",adjacent,91,18,18
301,6,Sandra,2,B,6,102,Charles,2,C,6,110,unrelated,short,NA,41,7,7163.1,"[""<img src=\""jspsych/stimuli/sandra2B6.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/charles2C6.png\"" width=\""480\"" height=\""270\"">""]",adjacent,92,34,34
301,6,Charles,1,E,4,68,Charles,2,A,5,77,mainplot,mainplot,NA,32,8,6809.2,"[""<img src=\""jspsych/stimuli/charles1E4.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/charles2A5.png\"" width=\""480\"" height=\""270\"">""]",adjacent,93,24,24
301,6,Beatrice,1,A,3,43,Charles,1,D,3,51,coherent,short,NA,63,7,6330.5,"[""<img src=\""jspsych/stimuli/beatrice1A3.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/charles1D3.png\"" width=\""480\"" height=\""270\"">""]",adjacent,94,56,56
301,6,Charles,2,B,7,95,Charles,2,C,7,111,mainplot,mainplot,NA,4,15,3611.5,"[""<img src=\""jspsych/stimuli/charles2B7.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/charles2C7.png\"" width=\""480\"" height=\""270\"">""]",random,95,-11,11
301,6,Charles,1,D,2,50,Charles,2,A,1,73,mainplot,mainplot,NA,47,22,6502.7,"[""<img src=\""jspsych/stimuli/charles1D2.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/charles2A1.png\"" width=\""480\"" height=\""270\"">""]",random,97,25,25
301,6,Sandra,2,B,1,97,Charles,2,C,1,105,unrelated,short,NA,81,7,4859.2,"[""<img src=\""jspsych/stimuli/sandra2B1.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/charles2C1.png\"" width=\""480\"" height=\""270\"">""]",adjacent,98,74,74
301,6,Charles,1,E,8,72,Charles,2,C,8,112,mainplot,short,NA,50,39,6635,"[""<img src=\""jspsych/stimuli/charles1E8.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/charles2C8.png\"" width=\""480\"" height=\""270\"">""]",across,99,11,11
301,6,Charles,1,B,5,21,Charles,2,D,5,125,mainplot,long,NA,121,103,5818.8,"[""<img src=\""jspsych/stimuli/charles1B5.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/charles2D5.png\"" width=\""480\"" height=\""270\"">""]",across,100,18,18
301,6,Melvin,1,A,6,14,Melvin,2,B,6,118,unrelated,long,NA,46,103,5522.3,"[""<img src=\""jspsych/stimuli/melvin1A6.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/melvin2B6.png\"" width=\""480\"" height=\""270\"">""]",across,101,-57,57
301,6,Beatrice,1,A,7,47,Beatrice,2,A,5,85,coherent,short,NA,51,37,5283,"[""<img src=\""jspsych/stimuli/beatrice1A7.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/beatrice2A5.png\"" width=\""480\"" height=\""270\"">""]",across,102,14,14
301,6,Sandra,1,A,8,64,Sandra,2,B,4,100,unrelated,short,NA,85,35,5889.8,"[""<img src=\""jspsych/stimuli/sandra1A8.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/sandra2B4.png\"" width=\""480\"" height=\""270\"">""]",across,103,50,50
301,6,Beatrice,1,A,5,45,Beatrice,2,A,7,87,coherent,short,NA,97,41,7946.7,"[""<img src=\""jspsych/stimuli/beatrice1A5.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/beatrice2A7.png\"" width=\""480\"" height=\""270\"">""]",across,104,56,56
301,6,Johnny,1,A,3,27,Johnny,2,A,4,132,coherent,long,NA,91,104,4129.4,"[""<img src=\""jspsych/stimuli/johnny1A3.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/johnny2A4.png\"" width=\""480\"" height=\""270\"">""]",across,105,-13,13
